banana,0.398201292,1.965023965,0.403791446,0.074697791
banana,0.39571355,2.071128533,0.419203385,0.090137479
banana,0.420821703,1.974421547,0.390159378,0.072044271
banana,0.440542999,2.010954123,0.358466189,0.061864601
banana,0.381282044,1.909826444,0.403901586,0.072178216
banana,0.449377733,1.91442782,0.342911386,0.052936414
sleep_mask,0.838697314,1.851865301,0.199359643,0.012797661
sleep_mask,0.830633351,1.84271788,0.2000814,0.013021184
sleep_mask,0.820821673,1.90750431,0.206686588,0.015307547
sleep_mask,0.82953643,1.832741642,0.198834011,0.012546427
sleep_mask,0.815651752,1.935065052,0.206683954,0.015450684
key,0.517336208,2.225746909,0.31478089,0.055879994
key,0.473579126,2.352940886,0.325377694,0.053914305
key,0.578461578,2.363636167,0.301334849,0.05274825
key,0.618190352,2.250000018,0.272692049,0.039215428
key,0.544574251,2.282551357,0.2989273,0.047972686
key,0.535370794,2.111589166,0.281814619,0.035798628
swiss_knife,0.428937166,1.098651275,0.301183493,0.041178441
swiss_knife,0.42098367,1.125382235,0.302980358,0.050803208
swiss_knife,0.374445298,1.033138171,0.355859635,0.053683689
swiss_knife,0.419253506,1.132254765,0.320400393,0.046845817
swiss_knife,0.443897224,1.213860817,0.276367078,0.033190038
toothpaste,0.836712448,3.579226732,0.332765622,0.082504114
toothpaste,0.777336249,3.420218316,0.339730981,0.08661939
toothpaste,0.827026868,3.537595699,0.337901714,0.0830301
toothpaste,0.783401057,3.398784052,0.336378059,0.084505001
toothpaste,0.715352053,3.517792695,0.385373987,0.109100961
comb,0.936042249,3.663455649,0.32419277,0.078334686
comb,0.925221693,3.681115198,0.328948158,0.081368678
comb,0.927997544,3.684837999,0.324677602,0.0786978
comb,0.907039665,3.740122785,0.334441653,0.08519438
comb,0.931037503,3.659060948,0.329637045,0.081734485
lens_case,0.821763085,2.016666667,0.233423107,0.024164344
lens_case,0.784841734,1.933799849,0.231301779,0.023065992
lens_case,0.813487986,2.01750753,0.232193585,0.024342722
lens_case,0.745499018,1.687500098,0.221628708,0.018301925
lens_case,0.7972828,2.01221913,0.229486158,0.023372357
sticker,0.767568127,1.025587479,0.160801567,0.000055994
sticker,0.775682762,1.035832253,0.160837844,0.00006456
sticker,0.778202278,1.033898305,0.160956828,0.000110408
sticker,0.755101065,1.006315108,0.161006133,0.000082674
sticker,0.754373356,1.018184126,0.161607622,0.00008132
allen_key,0.300801442,3.323226427,1.044242962,0.889455657
allen_key,0.323048954,3.148414582,0.920837362,0.688199423
allen_key,0.346894174,3.03951631,0.823178393,0.549606798
allen_key,0.340774219,3.287963072,0.915387276,0.679445846
allen_key,0.333403991,2.976692571,0.824713448,0.53939993
scissor,0.375479364,2.962848715,0.541098137,0.218036814
scissor,0.369392816,3.182669216,0.589480257,0.272176498
scissor,0.337437352,3.149318183,0.629775898,0.303418893
scissor,0.343944075,3.000824464,0.605468918,0.278842210
scissor,0.312876012,2.961399585,0.602526518,0.252264966
